ndoc,Date_or_order,Cust_ID,Sum_RUR,Pmnt_RUR
14355725,11.03.17 15:27:11,1,1400,1400
14355862,11.03.17 19:33:22,6,12412,12412
14355929,12.03.17 7:06:41,4,6881,6881
14356180,12.03.17 14:50:48,5,11694,11694
14356262,12.03.17 16:56:10,8,2340,2340
14356334,12.03.17 19:16:48,18,145,145
14356510,13.03.17 10:39:38,19,5508,5508
14356550,13.03.17 11:34:31,1,2597,2597
14356567,13.03.17 11:48:39,1,21610,21610
14356728,13.03.17 15:52:12,1,300,300
14356876,13.03.17 21:12:39,20,6986,6986
14357252,14.03.17 17:08:32,7,7632,7632
14357615,15.03.17 19:13:34,14,12780,12780
14357646,15.03.17 22:15:25,8,820,820
14357743,16.03.17 11:47:58,20,6916,6916
14357774,16.03.17 13:32:25,8,13685,13685
14358196,17.03.17 13:36:34,14,880,880
14358408,17.03.17 18:11:53,11,2520,2520
14358616,18.03.17 10:17:13,7,2817,2817
14359034,18.03.17 22:39:04,2,6015,6015
14359524,19.03.17 20:43:43,7,45710,45710
14359576,20.03.17 7:01:34,2,900,900
14359577,20.03.17 7:01:49,2,888,888
14359876,20.03.17 15:35:31,7,1496,1496
14359928,20.03.17 16:42:09,14,2922,2922
14360165,21.03.17 10:49:32,3,6225,6225
14360374,21.03.17 16:03:08,13,1602,1602
14360555,22.03.17 10:02:23,17,216,216
14360612,22.03.17 13:04:00,9,951,951
14360724,22.03.17 19:02:57,10,2990,2990
14360896,23.03.17 13:52:27,4,9000,9000
14360917,23.03.17 14:51:39,17,25866,0
14360957,23.03.17 17:17:15,17,960,960
14360972,23.03.17 17:54:05,17,5475,5475
14361104,24.03.17 9:59:39,13,11447,11447
14361137,24.03.17 10:36:12,3,174,174
14361142,24.03.17 10:42:13,3,480,480
14361374,24.03.17 15:30:25,1,226,226
14361554,24.03.17 21:47:59,18,82600,82600
14361561,24.03.17 21:57:33,1,6306,6306
14361839,25.03.17 14:45:29,19,2895,2895
14361844,25.03.17 14:48:49,4,3416,3416
14362039,25.03.17 21:45:17,11,10536,10536
14362143,26.03.17 9:57:37,21,7900,7900
14362164,26.03.17 10:29:21,13,888,888
14362441,26.03.17 16:33:31,21,712,712
14362488,26.03.17 17:47:35,8,159,159
14362503,26.03.17 18:09:05,9,984,984
14362576,26.03.17 21:28:05,17,4050,4050
14362597,26.03.17 22:26:52,17,8656,8656
14362614,26.03.17 23:57:44,14,2508,2508
14362901,27.03.17 14:53:12,12,776,776
14363451,28.03.17 17:45:56,8,324,324
14363810,29.03.17 23:24:30,3,765,765
14363815,29.03.17 23:50:51,5,1698,1698
14364073,30.03.17 22:03:12,15,1566,1566
14364524,31.03.17 18:56:22,12,216,216
14364815,01.04.17 13:05:57,19,520,520
14364828,01.04.17 13:25:56,6,932,0
14365136,01.04.17 23:31:29,22,2280,2280
14365259,02.04.17 11:32:09,18,456,456
14365328,02.04.17 12:52:52,4,7374,7374
14365598,02.04.17 22:36:45,18,4188,4188
14365796,03.04.17 12:19:28,13,2832,2832
14366109,03.04.17 21:13:49,1,579,579
14366111,03.04.17 21:34:27,1,3987,3987
14366243,04.04.17 10:26:15,8,50878,0
14366365,04.04.17 13:01:42,8,3010,3010
14366491,04.04.17 15:46:33,15,747,747
14366585,04.04.17 18:20:37,13,1700,1700
14366596,04.04.17 19:05:38,16,5270,5270
14366936,05.04.17 22:15:40,11,5946,5946
14367137,06.04.17 17:19:09,6,2268,2268
14367164,06.04.17 20:26:50,22,60,60
14367314,07.04.17 10:57:26,6,1456,1456
14367526,07.04.17 14:51:25,1,650,650
14367619,07.04.17 16:47:41,6,72192,72192
14367699,07.04.17 20:16:11,22,19745,19745
14367890,08.04.17 10:54:20,20,164,164
14368038,08.04.17 13:30:26,9,3437,3437
14368155,08.04.17 16:13:43,10,5520,5520
14368156,08.04.17 16:13:58,10,3564,3564
14368492,09.04.17 10:51:33,3,15439,15439
14369040,10.04.17 10:58:14,9,12089,12089
14369058,10.04.17 11:18:39,22,9648,9648
14369093,10.04.17 12:04:33,20,680,680
14369111,10.04.17 12:26:44,16,180,180
14369441,10.04.17 23:23:39,8,4655,4655
14369612,11.04.17 11:58:10,6,3406,0
14369794,11.04.17 15:49:58,6,2178,2178
14369925,11.04.17 20:09:40,2,120,120
14370219,12.04.17 23:26:59,20,880,880
14370241,13.04.17 7:05:45,5,4808,4808
